"location","flow","product","partner","Unit","Date","Value"
"Rwanda","Exports","Vegetables and fruits","World","thousand USD","1995","76.55"
"Rwanda","Exports","Vegetables and fruits","World","thousand USD","1996","55.431"
"Rwanda","Exports","Vegetables and fruits","World","thousand USD","1997","514.283"
"Rwanda","Exports","Vegetables and fruits","World","thousand USD","1998","85.093"
"Rwanda","Exports","Vegetables and fruits","World","thousand USD","1999","434.644"
"Rwanda","Exports","Vegetables and fruits","World","thousand USD","2000","145.241"
"Rwanda","Exports","Vegetables and fruits","World","thousand USD","2001","55.013"
"Rwanda","Exports","Vegetables and fruits","World","thousand USD","2002","43.557"
"Rwanda","Exports","Vegetables and fruits","World","thousand USD","2003","61.843"
"Rwanda","Exports","Vegetables and fruits","World","thousand USD","2004","44.354"
"Rwanda","Exports","Vegetables and fruits","World","thousand USD","2005","281.759"
"Rwanda","Exports","Vegetables and fruits","World","thousand USD","2006","808.609"
"Rwanda","Exports","Vegetables and fruits","World","thousand USD","2007","922.174"
"Rwanda","Exports","Vegetables and fruits","World","thousand USD","2008","8501.582"
"Rwanda","Exports","Vegetables and fruits","World","thousand USD","2009","1900.798"
"Rwanda","Exports","Vegetables and fruits","World","thousand USD","2010","2116.703"
"Rwanda","Exports","Vegetables and fruits","World","thousand USD","2011","4338.031"
"Rwanda","Exports","Vegetables and fruits","World","thousand USD","2012","4235.377"
"Rwanda","Exports","Vegetables and fruits","World","thousand USD","2013","6970.404"
"Rwanda","Exports","Vegetables and fruits","World","thousand USD","2014","4352.991"
"Rwanda","Exports","Vegetables and fruits","World","thousand USD","2015","8891.152"
"Rwanda","Exports","Vegetables and fruits","World","thousand USD","2016","11273.124"
"Rwanda","Imports","Vegetables and fruits","World","thousand USD","1995","19661.766"
"Rwanda","Imports","Vegetables and fruits","World","thousand USD","1996","17191.942"
"Rwanda","Imports","Vegetables and fruits","World","thousand USD","1997","16515.908"
"Rwanda","Imports","Vegetables and fruits","World","thousand USD","1998","11279.712"
"Rwanda","Imports","Vegetables and fruits","World","thousand USD","1999","7478.851"
"Rwanda","Imports","Vegetables and fruits","World","thousand USD","2000","3776.85"
"Rwanda","Imports","Vegetables and fruits","World","thousand USD","2001","6151.809"
"Rwanda","Imports","Vegetables and fruits","World","thousand USD","2002","5520.408"
"Rwanda","Imports","Vegetables and fruits","World","thousand USD","2003","3947.8"
"Rwanda","Imports","Vegetables and fruits","World","thousand USD","2004","4076.689"
"Rwanda","Imports","Vegetables and fruits","World","thousand USD","2005","4677.712"
"Rwanda","Imports","Vegetables and fruits","World","thousand USD","2006","1954.417"
"Rwanda","Imports","Vegetables and fruits","World","thousand USD","2007","4415.267"
"Rwanda","Imports","Vegetables and fruits","World","thousand USD","2008","4280.844"
"Rwanda","Imports","Vegetables and fruits","World","thousand USD","2009","4052.231"
"Rwanda","Imports","Vegetables and fruits","World","thousand USD","2010","6996.62"
"Rwanda","Imports","Vegetables and fruits","World","thousand USD","2011","13161.542"
"Rwanda","Imports","Vegetables and fruits","World","thousand USD","2012","19035.243"
"Rwanda","Imports","Vegetables and fruits","World","thousand USD","2013","21948.66"
"Rwanda","Imports","Vegetables and fruits","World","thousand USD","2014","16425.237"
"Rwanda","Imports","Vegetables and fruits","World","thousand USD","2015","23112.303"
"Rwanda","Imports","Vegetables and fruits","World","thousand USD","2016","32826.332"
