year;gni_pc
1960;302,97
1961;307,71
1962;310,35
1963;322,46
1964;339,23
1965;323,38
1966;316,10
1967;333,90
1968;338,15
1969;352,67
1970;362,82
1971;360,63
1972;350,59
1973;354,05
1974;350,43
1975;373,98
1976;371,71
1977;389,76
1978;403,08
1979;374,30
1980;390,83
1981;403,98
1982;407,00
1983;426,26
1984;431,92
1985;444,75
1986;455,45
1987;462,57
1988;494,71
1989;512,61
1990;529,13
1991;522,74
1992;540,38
1993;555,77
1994;581,96
1995;615,17
1996;650,45
1997;664,71
1998;692,95
1999;741,33
2000;754,06
2001;778,43
2002;796,12
2003;843,90
2004;896,58
2005;964,25
2006;1036,67
2007;1125,38
2008;1149,99
2009;1229,91
2010;1331,19
2011;1403,98
2012;1457,74
2013;1531,10
2014;1627,60
2015;1737,79
2016;1838,47
2017;
