year;exp_sug;exp_veg;exp_cer
1995;159548,496;681701,054;1581732,196
1996;309660,291;665183,066;1263353,904
1997;76550,565;748137,391;933345,282
1998;13772,608;689890,895;1504499,089
1999;18199,149;980985,621;734324,823
2000;79630,052;915116,151;668797,697
2001;360063,109;851221,63;956514,579
2002;321010,05;900122,012;1651022,135
2003;429583,47;903392,276;1524160,314
2004;91273,112;1148604,787;1953907,239
2005;94921,494;1549696,53;2027849,159
2006;706083,001;1665002,126;1702544,134
2007;1079703,783;1712758,764;2914230,008
2008;1595635,072;2092817,012;4118713,241
2009;116428,263;2108074,611;3160822,455
2010;1096446,702;2338169,263;3136029,705
2011;2152130,84;2837681,208;5704262,659
2012;2247910,623;2670432,114;9131554,015
2013;1239360,578;3559119,2;11405159,58
2014;1385708,617;3304602,273;10598396,96
2015;1529068,152;3175587,32;7379828,724
2016;1768584,897;3268734,903;6096395,415
