pr;"	Year"; Month; Country; ISO3; ISO2
8,38525;2000;1;IND;;
19,7517;2000;2;IND;;
10,4295;2000;3;IND;;
31,5625;2000;4;IND;;
74,7512;2000;5;IND;;
159,946;2000;6;IND;;
248,563;2000;7;IND;;
218,708;2000;8;IND;;
123,548;2000;9;IND;;
40,0914;2000;10;IND;;
13,4128;2000;11;IND;;
6,10794;2000;12;IND;;
6,63178;2001;1;IND;;
4,53783;2001;2;IND;;
12,1672;2001;3;IND;;
27,8238;2001;4;IND;;
61,5042;2001;5;IND;;
181,652;2001;6;IND;;
225,672;2001;7;IND;;
201,707;2001;8;IND;;
84,3139;2001;9;IND;;
83,6282;2001;10;IND;;
17,6648;2001;11;IND;;
5,64367;2001;12;IND;;
12,1668;2002;1;IND;;
12,5439;2002;2;IND;;
13,4524;2002;3;IND;;
29,425;2002;4;IND;;
42,8618;2002;5;IND;;
151,07;2002;6;IND;;
131,91;2002;7;IND;;
232,01;2002;8;IND;;
119,873;2002;9;IND;;
60,838;2002;10;IND;;
24,6803;2002;11;IND;;
5,07381;2002;12;IND;;
7,38072;2003;1;IND;;
28,9371;2003;2;IND;;
16,2915;2003;3;IND;;
25,1046;2003;4;IND;;
26,1562;2003;5;IND;;
139,061;2003;6;IND;;
295,965;2003;7;IND;;
192,687;2003;8;IND;;
140,528;2003;9;IND;;
91,7346;2003;10;IND;;
13,4693;2003;11;IND;;
8,34971;2003;12;IND;;
14,6037;2004;1;IND;;
3,41179;2004;2;IND;;
8,07534;2004;3;IND;;
38,3796;2004;4;IND;;
55,9069;2004;5;IND;;
168,893;2004;6;IND;;
165,821;2004;7;IND;;
237,241;2004;8;IND;;
140,448;2004;9;IND;;
85,4569;2004;10;IND;;
14,7089;2004;11;IND;;
4,64055;2004;12;IND;;
15,2129;2005;1;IND;;
12,6491;2005;2;IND;;
22,8497;2005;3;IND;;
27,3111;2005;4;IND;;
41,1564;2005;5;IND;;
127,736;2005;6;IND;;
240,301;2005;7;IND;;
178,014;2005;8;IND;;
205,652;2005;9;IND;;
92,0143;2005;10;IND;;
17,7954;2005;11;IND;;
8,40418;2005;12;IND;;
5,65202;2006;1;IND;;
2,6609;2006;2;IND;;
32,6586;2006;3;IND;;
51,2555;2006;4;IND;;
63,3186;2006;5;IND;;
121,591;2006;6;IND;;
287,981;2006;7;IND;;
245,909;2006;8;IND;;
178,069;2006;9;IND;;
61,3744;2006;10;IND;;
33,4325;2006;11;IND;;
3,71632;2006;12;IND;;
1,06062;2007;1;IND;;
33,2787;2007;2;IND;;
17,3371;2007;3;IND;;
47,6544;2007;4;IND;;
48,0178;2007;5;IND;;
158,412;2007;6;IND;;
224,546;2007;7;IND;;
278,022;2007;8;IND;;
190,599;2007;9;IND;;
45,1547;2007;10;IND;;
18,0053;2007;11;IND;;
6,55265;2007;12;IND;;
13,0269;2008;1;IND;;
12,0283;2008;2;IND;;
16,6364;2008;3;IND;;
27,6627;2008;4;IND;;
42,0035;2008;5;IND;;
191,57;2008;6;IND;;
226,076;2008;7;IND;;
266,808;2008;8;IND;;
155,516;2008;9;IND;;
52,7117;2008;10;IND;;
30,4276;2008;11;IND;;
8,05562;2008;12;IND;;
5,29196;2009;1;IND;;
6,47916;2009;2;IND;;
9,34734;2009;3;IND;;
29,2092;2009;4;IND;;
63,4628;2009;5;IND;;
106,438;2009;6;IND;;
240,684;2009;7;IND;;
182,619;2009;8;IND;;
153,042;2009;9;IND;;
58,2477;2009;10;IND;;
56,7554;2009;11;IND;;
11,0535;2009;12;IND;;
7,54275;2010;1;IND;;
8,78608;2010;2;IND;;
17,9292;2010;3;IND;;
42,5104;2010;4;IND;;
54,3289;2010;5;IND;;
135,261;2010;6;IND;;
248,332;2010;7;IND;;
272,22;2010;8;IND;;
211,738;2010;9;IND;;
73,8137;2010;10;IND;;
58,06;2010;11;IND;;
15,9508;2010;12;IND;;
3,32826;2011;1;IND;;
20,362;2011;2;IND;;
6,69799;2011;3;IND;;
28,7954;2011;4;IND;;
47,7341;2011;5;IND;;
207,022;2011;6;IND;;
231,939;2011;7;IND;;
317,779;2011;8;IND;;
186,507;2011;9;IND;;
39,8495;2011;10;IND;;
17,1447;2011;11;IND;;
7,91968;2011;12;IND;;
20,253;2012;1;IND;;
3,7663;2012;2;IND;;
6,68277;2012;3;IND;;
37,0949;2012;4;IND;;
40,9544;2012;5;IND;;
86,7309;2012;6;IND;;
251,324;2012;7;IND;;
263,938;2012;8;IND;;
223,025;2012;9;IND;;
52,8509;2012;10;IND;;
24,2408;2012;11;IND;;
8,53456;2012;12;IND;;
7,70131;2013;1;IND;;
24,4778;2013;2;IND;;
12,2633;2013;3;IND;;
29,8088;2013;4;IND;;
42,069;2013;5;IND;;
223,61;2013;6;IND;;
312,555;2013;7;IND;;
231,296;2013;8;IND;;
142,283;2013;9;IND;;
109,046;2013;10;IND;;
18,8074;2013;11;IND;;
6,25559;2013;12;IND;;
18,0054;2014;1;IND;;
22,7958;2014;2;IND;;
21,3371;2014;3;IND;;
22,0149;2014;4;IND;;
56,5902;2014;5;IND;;
86,6274;2014;6;IND;;
240,137;2014;7;IND;;
197,886;2014;8;IND;;
192,447;2014;9;IND;;
61,1298;2014;10;IND;;
15,2521;2014;11;IND;;
8,07315;2014;12;IND;;
19,0978;2015;1;IND;;
11,4594;2015;2;IND;;
39,0113;2015;3;IND;;
58,4772;2015;4;IND;;
50,3189;2015;5;IND;;
218,213;2015;6;IND;;
240,4;2015;7;IND;;
228,364;2015;8;IND;;
135,992;2015;9;IND;;
42,4305;2015;10;IND;;
30,9177;2015;11;IND;;
6,29845;2015;12;IND;;
