Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1950","1950","1000 persons","2186.19","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1951","1951","1000 persons","2250.68","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1952","1952","1000 persons","2313.31","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1953","1953","1000 persons","2378.45","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1954","1954","1000 persons","2448.83","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1955","1955","1000 persons","2525.53","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1956","1956","1000 persons","2607.95","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1957","1957","1000 persons","2693.82","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1958","1958","1000 persons","2779.55","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1959","1959","1000 persons","2860.69","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1960","1960","1000 persons","2933.43","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1961","1961","1000 persons","2996.1","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1962","1962","1000 persons","3050.6","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1963","1963","1000 persons","3102.97","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1964","1964","1000 persons","3161.72","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1965","1965","1000 persons","3232.93","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1966","1966","1000 persons","3319.08","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1967","1967","1000 persons","3418.32","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1968","1968","1000 persons","3527.26","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1969","1969","1000 persons","3640.59","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1970","1970","1000 persons","3754.54","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1971","1971","1000 persons","3868.34","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1972","1972","1000 persons","3983.7","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1973","1973","1000 persons","4102.32","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1974","1974","1000 persons","4226.8","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1975","1975","1000 persons","4359.09","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1976","1976","1000 persons","4499.51","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1977","1977","1000 persons","4647.62","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1978","1978","1000 persons","4803.73","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1979","1979","1000 persons","4968.07","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1980","1980","1000 persons","5140.72","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1981","1981","1000 persons","5315.03","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1982","1982","1000 persons","5489.32","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1983","1983","1000 persons","5673.61","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1984","1984","1000 persons","5881.91","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1985","1985","1000 persons","6120.11","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1986","1986","1000 persons","6407.67","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1987","1987","1000 persons","6732.13","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1988","1988","1000 persons","7030.18","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1989","1989","1000 persons","7216.03","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1990","1990","1000 persons","7235.8","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1991","1991","1000 persons","7051.76","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1992","1992","1000 persons","6701.85","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1993","1993","1000 persons","6299.91","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1994","1994","1000 persons","6005.1","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1995","1995","1000 persons","5928.08","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1996","1996","1000 persons","6115.17","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1997","1997","1000 persons","6522.38","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1998","1998","1000 persons","7059.81","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1999","1999","1000 persons","7593.24","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2000","2000","1000 persons","8025.7","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2001","2001","1000 persons","8329.41","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2002","2002","1000 persons","8536.21","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2003","2003","1000 persons","8680.35","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2004","2004","1000 persons","8818.44","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2005","2005","1000 persons","8991.74","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2006","2006","1000 persons","9206.58","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2007","2007","1000 persons","9447.4","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2008","2008","1000 persons","9708.17","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2009","2009","1000 persons","9977.45","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2010","2010","1000 persons","10246.8","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2011","2011","1000 persons","10516.1","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2012","2012","1000 persons","10788.9","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2013","2013","1000 persons","11065.2","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2014","2014","1000 persons","11345.4","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 persons","11629.6","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2016","2016","1000 persons","11917.5","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","12208.4","XU","UNDESA, Population Division – World Population Prospects, the 2015 Revision"
